SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS16drf
RA: 331.0130218
DECL: -10.2182011
MWEBV: 0.0325 +- 0.0016
FILTERS: griz
REDSHIFT_HELIO: 0.0574900 +- 0.0001030
REDSHIFT_FINAL: 0.056295322470059084
SEARCH_PEAKMJD: 57612.42994
HOSTGAL_LOGMASS: 10.506 +- 0.014
VPEC: 105.405
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 19
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57612.42953      g    NULL     1430.343        159.536    19.611     0.120  3.26
OBS:  57626.45543      g    NULL      624.551        169.466    20.511     0.293  3.88
OBS:  57639.38301      g    NULL      267.832         75.095    21.430     0.303  1.83
OBS:  57650.42780      g    NULL       48.999        197.096    23.275     4.344  2.17
OBS:  57667.30868      g    NULL       -4.779         95.415       nan    21.563  1.99
OBS:  57612.42994      r    NULL     3023.984        128.005    18.799     0.046  2.53
OBS:  57626.45583      r    NULL     1776.398        105.286    19.376     0.064  2.29
OBS:  57639.38340      r    NULL      899.279         77.485    20.115     0.093  1.71
OBS:  57650.42822      r    NULL      466.710        143.349    20.827     0.332  2.05
OBS:  57667.30908      r    NULL      338.804         90.482    21.175     0.288  1.88
OBS:  57612.43029      i    NULL     2759.347        173.970    18.898     0.068  3.09
OBS:  57626.45618      i    NULL     1547.115        146.489    19.526     0.102  2.77
OBS:  57639.38376      i    NULL     1199.604         92.146    19.802     0.083  1.60
OBS:  57650.42856      i    NULL      641.886        133.743    20.481     0.225  1.72
OBS:  57667.30943      i    NULL      513.494        100.462    20.724     0.211  1.72
OBS:  57612.43065      z    NULL     2125.922        206.898    19.181     0.105  2.53
OBS:  57639.38412      z    NULL     1422.022        138.606    19.618     0.105  1.62
OBS:  57650.42892      z    NULL      979.950        197.173    20.022     0.217  1.74
OBS:  57667.30979      z    NULL      827.045        157.519    20.206     0.206  1.77
END:
