SURVEY: FOUNDATION
SNTYPE: 1
SNID: PSNJ1300323
RA: 195.1346513
DECL: 27.9780872
MWEBV: 0.0091 +- 0.0005
FILTERS: griz
REDSHIFT_HELIO: 0.0231560 +- 0.0001670
REDSHIFT_FINAL: 0.02407222276053189
SEARCH_PEAKMJD: 57167.26389
HOSTGAL_LOGMASS: 6.000 +- 0.100
VPEC: 370.859
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 46
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57163.25874      g    NULL    57192.775        842.463    15.607     0.016  2.22
OBS:  57167.26389      g    NULL    68017.810        987.524    15.418     0.016  2.22
OBS:  57176.38210      g    NULL    50301.280        764.351    15.746     0.016  1.67
OBS:  57180.32456      g    NULL    46187.220        688.371    15.839     0.016  1.79
OBS:  57189.29252      g    NULL    20021.741        333.153    16.746     0.018  1.75
OBS:  57189.28872      g    NULL    19225.231        325.982    16.790     0.018  2.06
OBS:  57195.26838      g    NULL    13354.069        239.736    17.186     0.019  1.81
OBS:  57200.27118      g    NULL     9305.505        206.500    17.578     0.024  1.93
OBS:  57427.62725      g    NULL      526.996        108.662    20.695     0.223  2.25
OBS:  57568.27527      g    NULL      115.491         69.852    22.344     0.653  1.88
OBS:  57578.27073      g    NULL       37.766         93.537    23.557     2.675  2.54
OBS:  57163.25915      r    NULL    48847.053        715.137    15.778     0.016  1.89
OBS:  57167.26430      r    NULL    58585.054        845.212    15.581     0.016  1.93
OBS:  57176.38253      r    NULL    51922.393        765.955    15.712     0.016  1.55
OBS:  57180.32497      r    NULL    47149.076        696.663    15.816     0.016  1.58
OBS:  57189.28911      r    NULL    33007.946        495.505    16.203     0.016  1.85
OBS:  57189.29292      r    NULL    31381.224        475.539    16.258     0.016  1.65
OBS:  57195.26876      r    NULL    28478.971        432.737    16.364     0.016  1.72
OBS:  57200.27157      r    NULL    23465.211        369.695    16.574     0.017  1.77
OBS:  57427.62765      r    NULL       78.147         72.730    22.768     1.005  1.96
OBS:  57568.27566      r    NULL      -97.021         57.148       nan     0.636  1.71
OBS:  57578.27113      r    NULL      118.735        105.894    22.314     0.963  2.91
OBS:  57163.25953      i    NULL    33015.814        505.571    16.203     0.017  1.93
OBS:  57167.26468      i    NULL    37991.697        578.592    16.051     0.017  1.79
OBS:  57176.38291      i    NULL    31631.421        489.976    16.250     0.017  1.47
OBS:  57180.32535      i    NULL    27731.378        427.395    16.393     0.017  1.43
OBS:  57189.28950      i    NULL    24289.156        380.016    16.536     0.017  1.79
OBS:  57189.29330      i    NULL    23132.537        367.049    16.589     0.017  1.57
OBS:  57195.26914      i    NULL    22993.088        360.518    16.596     0.017  1.63
OBS:  57200.27193      i    NULL    20492.126        328.249    16.721     0.017  1.47
OBS:  57427.62801      i    NULL       87.285         75.691    22.648     0.937  1.80
OBS:  57568.27602      i    NULL      -40.947         69.151       nan     1.824  1.52
OBS:  57578.27149      i    NULL     -123.373        114.974       nan     1.006  2.78
OBS:  57172.33215      i    NULL    33626.887        480.469    16.183     0.016  1.28
OBS:  57172.34425      i    NULL    34060.756        486.287    16.169     0.015  1.33
OBS:  57172.35636      i    NULL    34397.948        491.276    16.159     0.016  1.26
OBS:  57172.36841      i    NULL    33625.388        480.991    16.183     0.016  1.17
OBS:  57163.25990      z    NULL    28805.722        479.894    16.351     0.018  1.83
OBS:  57167.26507      z    NULL    35759.888        566.142    16.117     0.017  1.70
OBS:  57176.38328      z    NULL    30961.456        508.371    16.273     0.018  1.33
OBS:  57180.32574      z    NULL    28172.861        459.724    16.375     0.018  1.42
OBS:  57189.28987      z    NULL    24664.430        413.743    16.520     0.018  1.54
OBS:  57189.29374      z    NULL    23857.902        407.731    16.556     0.019  1.59
OBS:  57195.26950      z    NULL    22730.697        381.473    16.608     0.018  1.56
OBS:  57200.27229      z    NULL    18646.379        329.673    16.824     0.019  1.35
OBS:  57578.27185      z    NULL     -149.324        157.628       nan     1.140  2.37
END:
