SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-16ej
RA: 287.6559060
DECL: 37.6551364
MWEBV: 0.1496 +- 0.0075
FILTERS: griz
REDSHIFT_HELIO: 0.0280160 +- 0.0000770
REDSHIFT_FINAL: 0.027426103041078065
SEARCH_PEAKMJD: 57494.57998
HOSTGAL_LOGMASS: 10.576 +- 0.001
VPEC: -180.344
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 30
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57494.57958      g    NULL    11711.260        238.190    17.328     0.022  2.31
OBS:  57498.59603      g    NULL     9379.315        231.771    17.570     0.027  1.80
OBS:  57503.58779      g    NULL     5655.552        196.909    18.119     0.038  1.97
OBS:  57508.60360      g    NULL     3063.820        136.540    18.784     0.048  1.81
OBS:  57514.56645      g    NULL     1807.124        116.709    19.358     0.070  1.81
OBS:  57523.54209      g    NULL      992.317        103.874    20.008     0.113  1.93
OBS:  57535.56872      g    NULL      544.855        132.748    20.659     0.263  2.11
OBS:  57494.57998      r    NULL    13741.042        254.772    17.155     0.020  1.94
OBS:  57498.59655      r    NULL    11124.915        227.974    17.384     0.022  1.83
OBS:  57503.58819      r    NULL    10113.792        229.393    17.488     0.025  1.86
OBS:  57508.60398      r    NULL     8426.120        183.128    17.686     0.024  1.66
OBS:  57514.56684      r    NULL     5942.336        164.742    18.065     0.030  1.62
OBS:  57523.54248      r    NULL     3288.791        130.104    18.707     0.043  1.76
OBS:  57535.56911      r    NULL     2208.506        132.794    19.140     0.065  1.99
OBS:  57494.58034      i    NULL     7971.841        190.349    17.746     0.026  1.66
OBS:  57498.59691      i    NULL     5730.298        189.937    18.105     0.036  1.81
OBS:  57503.58855      i    NULL     6735.425        196.487    17.929     0.032  1.66
OBS:  57508.60435      i    NULL     7446.000        185.803    17.820     0.027  1.39
OBS:  57514.56721      i    NULL     5745.286        181.645    18.102     0.034  1.65
OBS:  57523.54285      i    NULL     3046.335        151.399    18.791     0.054  1.69
OBS:  57535.56947      i    NULL     1284.992        150.695    19.728     0.127  1.79
OBS:  57494.58069      z    NULL     8232.042        262.741    17.711     0.035  1.53
OBS:  57498.59728      z    NULL     7840.165        258.083    17.764     0.036  1.55
OBS:  57503.58891      z    NULL     7863.273        252.336    17.761     0.035  1.44
OBS:  57508.60472      z    NULL     7781.244        257.671    17.772     0.036  1.58
OBS:  57514.56758      z    NULL     7108.963        254.836    17.870     0.039  1.68
OBS:  57523.54321      z    NULL     3203.621        200.227    18.736     0.068  1.55
OBS:  57535.56984      z    NULL     1772.429        198.207    19.379     0.121  1.71
OBS:  57477.64413      z    NULL     4340.215        153.894    18.406     0.038  1.43
OBS:  57477.65328      z    NULL     5146.999        226.033    18.221     0.047  1.38
END:
