SURVEY: FOUNDATION
SNTYPE: 1
SNID: ATLAS16bdg
RA: 192.4222994
DECL: -11.0928772
MWEBV: 0.0395 +- 0.0020
FILTERS: griz
REDSHIFT_HELIO: 0.0136860 +- 0.0001230
REDSHIFT_FINAL: 0.0148276369768372
SEARCH_PEAKMJD: 57558.26823
HOSTGAL_LOGMASS: 10.568 +- 0.012
VPEC: 295.840
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 24
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57558.26711      g    NULL    13657.241        310.823    17.162     0.025  2.34
OBS:  57562.26794      g    NULL    12068.597        256.032    17.296     0.023  2.60
OBS:  57568.26988      g    NULL     8804.822        190.342    17.638     0.023  1.61
OBS:  57577.26709      g    NULL     4456.698        169.964    18.377     0.041  2.28
OBS:  57586.26636      g    NULL     2371.444        198.552    19.062     0.090  2.18
OBS:  57600.26173      g    NULL     1292.576        141.083    19.721     0.118  2.41
OBS:  57558.26752      r    NULL    34201.830        538.909    16.165     0.017  2.25
OBS:  57562.26835      r    NULL    30245.858        480.344    16.298     0.017  2.59
OBS:  57568.27029      r    NULL    21951.665        355.261    16.646     0.018  1.50
OBS:  57577.26751      r    NULL    18322.039        318.680    16.843     0.019  2.04
OBS:  57586.26677      r    NULL    12155.949        256.932    17.288     0.023  2.00
OBS:  57600.26215      r    NULL     7179.195        183.661    17.860     0.028  1.83
OBS:  57558.26787      i    NULL    28622.213        463.359    16.358     0.018  1.96
OBS:  57562.26870      i    NULL    24544.329        402.139    16.525     0.018  2.00
OBS:  57568.27064      i    NULL    17388.834        298.857    16.899     0.019  1.35
OBS:  57577.26786      i    NULL    21687.480        373.210    16.659     0.019  2.11
OBS:  57586.26713      i    NULL    17441.805        322.124    16.896     0.020  1.79
OBS:  57600.26250      i    NULL     8387.544        201.680    17.691     0.026  1.92
OBS:  57558.26823      z    NULL    35737.637        585.883    16.117     0.018  1.88
OBS:  57562.26906      z    NULL    30520.679        524.491    16.289     0.019  2.08
OBS:  57568.27099      z    NULL    27488.464        471.063    16.402     0.019  1.29
OBS:  57577.26821      z    NULL    28368.280        487.811    16.368     0.019  1.61
OBS:  57586.26748      z    NULL    24798.141        453.861    16.514     0.020  1.81
OBS:  57600.26284      z    NULL    10197.976        284.362    17.479     0.030  1.83
END:
