SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PS15bsq
RA: 355.4673526
DECL: -8.6378763
MWEBV: 0.0296
FILTERS: griz
REDSHIFT_HELIO: 0.0343042 +- 1.72538e-05
REDSHIFT_FINAL: 0.0331234699693 +- 1.72538e-05
SEARCH_PEAKMJD: 57262.42308
HOSTGAL_LOGMASS: 10.961 +- 0.013
VPEC: 268.731
VPEC_ERR: 250.000
NOBS: 28
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57255.50251     g     MD     17381.407        300.024    16.900     0.019  5.02     0
OBS:  57262.42308     g     MD     23777.231        485.502    16.560     0.022  6.18     0
OBS:  57271.48347     g     MD     18445.341        307.107    16.835     0.018  3.79     0
OBS:  57276.45055     g     MD     13235.390        243.583    17.196     0.020  4.43     0
OBS:  57284.50527     g     MD      6799.289        153.947    17.919     0.025  5.31     0
OBS:  57297.33421     g     MD      2839.166        134.179    18.867     0.051  4.82     0
OBS:  57255.50291     r     MD     15904.973        264.780    16.996     0.018  4.04     0
OBS:  57262.42348     r     MD     20733.521        397.389    16.708     0.021  4.99     0
OBS:  57271.48388     r     MD     17783.540        285.100    16.875     0.017  3.46     0
OBS:  57276.45096     r     MD     13364.807        234.235    17.185     0.019  4.28     0
OBS:  57284.50568     r     MD     11064.413        198.295    17.390     0.019  4.62     0
OBS:  57297.33461     r     MD      6638.154        152.667    17.945     0.025  4.42     0
OBS:  57255.50327     i     MD     11505.478        217.564    17.348     0.020  4.39     0
OBS:  57262.42383     i     MD     11805.029        280.456    17.320     0.026  4.94     0
OBS:  57271.48423     i     MD      9011.706        177.117    17.613     0.021  3.05     0
OBS:  57276.45132     i     MD      6162.912        143.375    18.026     0.025  4.26     0
OBS:  57284.50603     i     MD      7028.138        152.634    17.883     0.024  3.95     0
OBS:  57297.33496     i     MD      6089.304        143.720    18.039     0.026  3.78     0
OBS:  57324.26874     i     MD      1737.857         80.803    19.400     0.050  4.86     0
OBS:  57324.28009     i     MD      1857.926         68.486    19.327     0.040  3.55     0
OBS:  57324.30276     i     MD      1950.713         72.197    19.275     0.040  4.23     0
OBS:  57262.42538     z     MD     11177.444        309.903    17.379     0.030  4.43     0
OBS:  57271.48459     z     MD      8039.491        202.789    17.737     0.027  3.12     0
OBS:  57276.45168     z     MD      6819.577        190.713    17.916     0.030  3.66     0
OBS:  57284.50638     z     MD      7141.724        190.664    17.865     0.029  3.59     0
OBS:  57297.33532     z     MD      5981.154        179.946    18.058     0.033  3.87     0
OBS:  57243.61990     z     MD       112.228         84.528    22.375     0.813  3.96     0
OBS:  57243.62817     z     MD       -46.895         92.994       nan     2.142  3.58     0
END:
