SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-16bc
RA: 181.3574951
DECL: -21.4004457
MWEBV: 0.0478
FILTERS: griz
REDSHIFT_HELIO: 0.031939 +- 0.00015
REDSHIFT_FINAL: 0.033105858437 +- 0.00015
SEARCH_PEAKMJD: 57428.47326
HOSTGAL_LOGMASS: 10.461 +- 0.002
VPEC: 23.835
VPEC_ERR: 250.000
NOBS: 33
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57422.53601     g     MD     21633.669        368.366    16.662     0.018  5.80     0
OBS:  57428.47326     g     MD     30636.082        482.237    16.284     0.017  4.81     0
OBS:  57436.54931     g     MD     25934.493        438.348    16.465     0.018  7.14     0
OBS:  57449.46129     g     MD     11395.913        223.423    17.358     0.021  5.12     0
OBS:  57459.43708     g     MD      5330.665        160.129    18.183     0.032  5.41     0
OBS:  57476.39488     g     MD      2608.477        124.107    18.959     0.051  6.23     0
OBS:  57422.53642     r     MD     18551.591        307.674    16.829     0.018  5.50     0
OBS:  57428.47368     r     MD     26956.592        418.012    16.423     0.017  4.39     0
OBS:  57436.54971     r     MD     23697.624        387.021    16.563     0.018  6.63     0
OBS:  57449.46170     r     MD     12356.888        223.616    17.270     0.020  5.16     0
OBS:  57459.43749     r     MD     10767.042        209.640    17.420     0.021  5.96     0
OBS:  57476.39529     r     MD      4941.769        134.532    18.265     0.029  5.45     0
OBS:  57491.35883     r     MD      2963.287        125.986    18.821     0.046  10.26     0
OBS:  57491.36997     r     MD      3118.004         98.645    18.765     0.034  10.21     0
OBS:  57491.38115     r     MD      2726.959         94.411    18.911     0.037  10.16     0
OBS:  57491.39228     r     MD      2857.523        101.436    18.860     0.038  10.91     0
OBS:  57422.53677     i     MD     14297.809        259.704    17.112     0.020  5.17     0
OBS:  57428.47404     i     MD     14846.813        258.328    17.071     0.019  3.86     0
OBS:  57436.55006     i     MD     11657.686        245.603    17.333     0.023  6.45     0
OBS:  57449.46205     i     MD      6433.750        147.489    17.979     0.025  4.73     0
OBS:  57459.43785     i     MD      8042.971        182.405    17.736     0.025  5.16     0
OBS:  57476.39564     i     MD      3586.785        124.979    18.613     0.038  4.53     0
OBS:  57438.48632     i     MD     10854.004        176.417    17.411     0.018  4.73     0
OBS:  57438.49740     i     MD     11062.024        175.379    17.390     0.017  3.89     0
OBS:  57438.50851     i     MD     10762.698        172.283    17.420     0.017  4.27     0
OBS:  57438.51961     i     MD     10802.712        176.762    17.416     0.018  4.72     0
OBS:  57428.47439     z     MD     14509.566        284.548    17.096     0.021  3.57     0
OBS:  57436.55042     z     MD     11249.832        283.986    17.372     0.027  5.68     0
OBS:  57449.46240     z     MD      7934.856        191.147    17.751     0.026  3.99     0
OBS:  57459.43821     z     MD      7447.841        232.486    17.820     0.034  5.18     0
OBS:  57476.39599     z     MD      3413.655        177.414    18.667     0.056  4.91     0
OBS:  57412.66252     z     MD       369.066        129.747    21.082     0.380  4.94     0
OBS:  57412.67035     z     MD        93.868        133.816    22.569     1.540  4.69     0
END:
