SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PS15cfn
RA: 329.8415169
DECL: -21.1196269
MWEBV: 0.0244
FILTERS: griz
REDSHIFT_HELIO: 0.1105695 +- 0.00015
REDSHIFT_FINAL: 0.109535729376 +- 0.00015
SEARCH_PEAKMJD: 57305.28430
HOSTGAL_LOGMASS: 8.366 +- 0.013
VPEC: -12.452
VPEC_ERR: 250.000
NOBS: 45
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57305.28430     g     MD      2438.400        114.999    19.032     0.051  5.10     0
OBS:  57307.29963     g     MD      2322.647        117.978    19.085     0.055  5.48     0
OBS:  57313.31968     g     MD      2298.593        131.186    19.096     0.062  6.86     0
OBS:  57320.25307     g     MD      2487.373        227.282    19.011     0.099  5.50     0
OBS:  57325.27877     g     MD      1343.164        212.050    19.680     0.171  5.30     0
OBS:  57327.23005     g     MD      1067.795         97.533    19.929     0.099  4.79     0
OBS:  57334.20498     g     MD      1033.005        208.893    19.965     0.218  8.02     0
OBS:  57353.20381     g     MD       248.671        234.940    21.511     1.020  8.98     0
OBS:  57305.28471     r     MD      2079.118         98.425    19.205     0.051  4.54     0
OBS:  57307.30004     r     MD      2366.431         93.002    19.065     0.042  3.99     0
OBS:  57313.32010     r     MD      2277.283        121.595    19.106     0.058  5.75     0
OBS:  57320.25348     r     MD      1959.499        138.598    19.270     0.076  4.02     0
OBS:  57325.27918     r     MD      1922.107        319.744    19.291     0.180  4.57     0
OBS:  57327.23046     r     MD      1079.939         86.262    19.917     0.086  3.71     0
OBS:  57334.20540     r     MD       833.983        180.326    20.197     0.234  7.60     0
OBS:  57353.20422     r     MD       519.981        227.377    20.710     0.472  7.61     0
OBS:  57297.33914     r     MD       886.858         52.903    20.130     0.064  5.08     0
OBS:  57297.35112     r     MD       858.226         55.633    20.166     0.070  4.82     0
OBS:  57297.36285     r     MD       882.319         54.782    20.136     0.067  4.71     0
OBS:  57297.37469     r     MD       985.164         52.192    20.016     0.057  4.12     0
OBS:  57305.28506     i     MD      1497.802         99.102    19.561     0.071  4.05     0
OBS:  57307.30039     i     MD      1618.747        113.491    19.477     0.076  5.48     0
OBS:  57313.32045     i     MD      1550.913        129.345    19.524     0.090  5.03     0
OBS:  57320.25382     i     MD      1079.379        126.742    19.917     0.127  3.64     0
OBS:  57325.27953     i     MD       954.969        615.272    20.050     0.696  4.17     0
OBS:  57327.23081     i     MD       955.265        100.971    20.050     0.114  3.99     0
OBS:  57334.20575     i     MD       823.317        230.925    20.211     0.303  8.71     0
OBS:  57353.20457     i     MD       739.136        223.320    20.328     0.326  7.00     0
OBS:  57297.29006     i     MD       642.894         51.153    20.480     0.086  5.13     0
OBS:  57297.30144     i     MD       746.378         44.271    20.318     0.064  4.21     0
OBS:  57297.31286     i     MD       745.514         50.392    20.319     0.073  4.62     0
OBS:  57297.32426     i     MD       704.344         57.107    20.381     0.088  5.11     0
OBS:  57298.30919     i     MD       964.102         48.510    20.040     0.054  4.11     0
OBS:  57298.32158     i     MD       898.250         58.069    20.117     0.070  5.17     0
OBS:  57298.33394     i     MD      1011.445         62.386    19.988     0.067  5.54     0
OBS:  57298.34633     i     MD       865.101         61.446    20.157     0.077  5.76     0
OBS:  57307.30074     z     MD      1190.242        141.383    19.811     0.128  3.55     0
OBS:  57313.32080     z     MD       932.025        199.289    20.076     0.231  4.83     0
OBS:  57320.25418     z     MD       453.754        181.434    20.858     0.432  4.09     0
OBS:  57325.27988     z     MD      1176.965       1132.841    19.823     1.040  4.25     0
OBS:  57327.23116     z     MD       397.762        138.982    21.001     0.377  3.35     0
OBS:  57334.20610     z     MD       407.427        277.732    20.975     0.736  6.10     0
OBS:  57353.20493     z     MD       227.031        322.628    21.610     1.535  6.60     0
OBS:  57353.19385     z     MD       725.041        311.633    20.349     0.464  6.52     0
OBS:  57353.20150     z     MD       974.127        241.237    20.028     0.267  8.05     0
END:
