SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-17co
RA: 272.3364601
DECL: 18.2983501
MWEBV: 0.0907
FILTERS: griz
REDSHIFT_HELIO: 0.018259 +- 0.00015
REDSHIFT_FINAL: 0.0179234524585 +- 0.00015
SEARCH_PEAKMJD: 57804.65458
HOSTGAL_LOGMASS: 11.011 +- 0.001
VPEC: 154.997
VPEC_ERR: 250.000
NOBS: 26
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57804.65416     g     MD     43731.843        672.359    15.898     0.017  5.35     0
OBS:  57816.63521     g     MD     35267.579        576.703    16.132     0.018  7.53     0
OBS:  57825.63514     g     MD     17928.018        333.329    16.866     0.020  3.91     0
OBS:  57832.62375     g     MD      8981.747        230.462    17.617     0.028  5.78     0
OBS:  57846.61656     g     MD      4392.267        194.461    18.393     0.048  6.42     0
OBS:  57855.58407     g     MD      3630.795        228.145    18.600     0.068  5.17     0
OBS:  57804.65458     r     MD     47561.715        728.447    15.807     0.017  4.97     0
OBS:  57816.63562     r     MD     41844.417        665.202    15.946     0.017  6.44     0
OBS:  57825.63553     r     MD     29033.281        479.543    16.343     0.018  3.51     0
OBS:  57832.62415     r     MD     25818.045        431.302    16.470     0.018  4.49     0
OBS:  57846.61695     r     MD     11540.464        269.013    17.344     0.025  5.61     0
OBS:  57855.58446     r     MD      9250.661        250.707    17.585     0.029  4.15     0
OBS:  57804.65493     i     MD     34387.987        562.706    16.159     0.018  4.42     0
OBS:  57816.63597     i     MD     23529.259        455.025    16.571     0.021  6.26     0
OBS:  57825.63589     i     MD     21420.803        388.959    16.673     0.020  4.22     0
OBS:  57832.62451     i     MD     23143.415        406.382    16.589     0.019  4.28     0
OBS:  57846.61733     i     MD     10402.408        277.333    17.457     0.029  5.79     0
OBS:  57855.58483     i     MD      8492.094        267.986    17.677     0.034  4.63     0
OBS:  57804.65528     z     MD     31859.992        555.499    16.242     0.019  4.36     0
OBS:  57816.63632     z     MD     23988.709        474.365    16.550     0.021  5.66     0
OBS:  57825.63626     z     MD     24921.285        455.488    16.509     0.020  3.69     0
OBS:  57832.62488     z     MD     22155.766        425.055    16.636     0.021  4.35     0
OBS:  57846.61770     z     MD     11790.753        316.804    17.321     0.029  5.18     0
OBS:  57855.58519     z     MD      7439.469        278.587    17.821     0.040  3.90     0
OBS:  57831.64378     z     MD     24953.649        411.152    16.507     0.018  4.54     0
OBS:  57832.62752     z     MD     24543.356        393.845    16.525     0.017  4.11     0
END:
