SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: AT2016htn
RA: 32.8710629
DECL: -16.5102285
MWEBV: 0.0232
FILTERS: griz
REDSHIFT_HELIO: 0.053117 +- 0.00015
REDSHIFT_FINAL: 0.0523255027547 +- 0.00015
SEARCH_PEAKMJD: 57702.43732
HOSTGAL_LOGMASS: 10.740 +- 0.001
VPEC: 201.467
VPEC_ERR: 250.000
NOBS: 36
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57697.39943     g     MD      5997.826        146.130    18.055     0.026  5.60     0
OBS:  57702.43691     g     MD      6521.708        178.460    17.964     0.030  3.71     0
OBS:  57707.39455     g     MD      5309.478        239.279    18.187     0.049  5.38     0
OBS:  57721.35546     g     MD      1678.473        120.509    19.438     0.078  6.88     0
OBS:  57735.27093     g     MD       371.079        318.168    21.076     0.926  7.24     0
OBS:  57697.39983     r     MD      5859.443        130.252    18.080     0.024  4.94     0
OBS:  57702.43732     r     MD      6845.156        147.984    17.912     0.023  3.28     0
OBS:  57707.39496     r     MD      5994.191        186.779    18.056     0.034  5.28     0
OBS:  57721.35587     r     MD      3532.134        114.582    18.630     0.035  6.34     0
OBS:  57735.27134     r     MD      2195.176        208.915    19.146     0.103  6.78     0
OBS:  57697.40019     i     MD      4260.120        119.194    18.426     0.030  4.54     0
OBS:  57702.43767     i     MD      4127.515        118.014    18.461     0.031  3.00     0
OBS:  57707.39532     i     MD      3795.451        152.505    18.552     0.043  4.76     0
OBS:  57721.35622     i     MD      2014.695        117.835    19.239     0.063  5.75     0
OBS:  57735.27169     i     MD      1765.607        196.399    19.383     0.120  5.96     0
OBS:  57653.52889     i     MD       -16.014         49.271       nan     3.323  4.27     0
OBS:  57653.54051     i     MD       -67.694         49.773       nan     0.794  4.24     0
OBS:  57653.55221     i     MD        65.909         48.841    22.953     0.800  3.98     0
OBS:  57653.56384     i     MD        -1.427         47.428       nan    35.895  3.95     0
OBS:  57684.46974     i     MD        98.821        166.131    22.513     1.816  8.17     0
OBS:  57684.48008     i     MD       106.443        131.782    22.432     1.337  7.58     0
OBS:  57684.49040     i     MD       137.237         72.061    22.156     0.567  7.21     0
OBS:  57684.50072     i     MD       272.639         69.130    21.411     0.274  6.17     0
OBS:  57707.34676     i     MD      3949.398        105.576    18.509     0.029  5.05     0
OBS:  57707.35777     i     MD      3832.100        103.301    18.541     0.029  4.89     0
OBS:  57707.36878     i     MD      3777.720        105.963    18.557     0.030  5.42     0
OBS:  57707.37980     i     MD      3719.487        105.913    18.574     0.031  5.22     0
OBS:  57762.22968     i     MD       535.342         53.009    20.678     0.107  3.83     0
OBS:  57762.25631     i     MD       663.984         49.254    20.445     0.080  3.47     0
OBS:  57762.26917     i     MD       709.496         59.050    20.373     0.090  4.19     0
OBS:  57762.28202     i     MD       653.118         54.879    20.463     0.091  3.89     0
OBS:  57697.40054     z     MD      4159.699        150.742    18.452     0.039  4.24     0
OBS:  57702.43802     z     MD      3670.992        144.570    18.588     0.043  3.24     0
OBS:  57707.39567     z     MD      3450.926        185.356    18.655     0.058  4.78     0
OBS:  57721.35658     z     MD      1419.111        201.714    19.620     0.154  5.52     0
OBS:  57735.27205     z     MD      1485.082        226.894    19.571     0.165  5.89     0
END:
