SURVEY: FOUNDATION
SNTYPE: 1
SNID: ATLAS17bas
RA: 166.8978556
DECL: 22.8513997
MWEBV: 0.0196 +- 0.0010
FILTERS: griz
REDSHIFT_HELIO: 0.0222200 +- 0.0000100
REDSHIFT_FINAL: 0.0232926 +- 0.0000100
SEARCH_PEAKMJD: 57816.49310
HOSTGAL_LOGMASS: 10.323 +- 0.001
VPEC: -149.822
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 23
NVAR: 9
VARLIST:      MJD   FLT       FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57806.42588     g     46343.848        710.018    15.835     0.017  2.93
OBS:  57816.49271     g     54434.735        812.499    15.660     0.016  2.38
OBS:  57826.50008     g     32742.794        541.043    16.212     0.018  2.02
OBS:  57832.44511     g     21756.483        358.549    16.656     0.018  1.89
OBS:  57844.40315     g      9222.324        205.683    17.588     0.024  1.92
OBS:  57859.39985     g      5141.386        181.255    18.222     0.038  1.87
OBS:  57806.42627     r     40765.443        625.698    15.974     0.017  2.93
OBS:  57816.49310     r     55346.472        817.271    15.642     0.016  2.90
OBS:  57826.50048     r     37551.070        581.844    16.063     0.017  1.88
OBS:  57832.44550     r     31631.491        479.110    16.250     0.016  1.73
OBS:  57844.40353     r     22118.651        358.790    16.638     0.018  1.75
OBS:  57806.42664     i     30107.574        488.297    16.303     0.018  2.61
OBS:  57816.49346     i     30109.387        479.440    16.303     0.017  2.35
OBS:  57826.50083     i     19886.917        358.300    16.754     0.020  1.75
OBS:  57832.44588     i     19251.678        322.875    16.789     0.018  1.75
OBS:  57844.40390     i     19315.503        326.643    16.785     0.018  1.66
OBS:  57859.40061     i      9635.322        223.041    17.540     0.025  1.87
OBS:  57806.42701     z     25352.058        470.916    16.490     0.020  2.36
OBS:  57816.49382     z     31407.219        526.034    16.257     0.018  2.11
OBS:  57826.50119     z     24142.197        447.561    16.543     0.020  1.58
OBS:  57832.44624     z     24188.871        422.850    16.541     0.019  1.76
OBS:  57844.40426     z     21128.244        375.621    16.688     0.019  1.41
OBS:  57859.40097     z      9325.694        267.543    17.576     0.031  1.79
END:
