SURVEY: FOUNDATION
SNTYPE: 1
SNID: ATLAS16dqf
RA: 317.2828674
DECL: -18.1039002
MWEBV: 0.0602 +- 0.0030
FILTERS: griz
REDSHIFT_HELIO: 0.0211700 +- 0.0001800
REDSHIFT_FINAL: 0.0202138 +- 0.0001800
SEARCH_PEAKMJD: 57705.20739
HOSTGAL_LOGMASS: 6.768 +- 0.030
VPEC: -40.549
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 20
NVAR: 9
VARLIST:      MJD   FLT       FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57696.20858     g     30515.087       1840.750    16.289     0.061  2.87
OBS:  57705.20698     g     35488.001       2968.362    16.125     0.083  2.64
OBS:  57712.20316     g     23265.207       3624.314    16.583     0.156  3.69
OBS:  57736.20673     g      7967.656       1597.333    17.747     0.201  2.63
OBS:  57750.21071     g      2782.618        489.413    18.889     0.176  3.53
OBS:  57696.20898     r     29091.546        448.856    16.341     0.017  2.52
OBS:  57705.20739     r     41680.887        679.297    15.950     0.018  2.56
OBS:  57712.20357     r     34062.480        531.932    16.169     0.017  3.07
OBS:  57736.20715     r     15273.155        332.392    17.040     0.024  2.42
OBS:  57750.21037     r      6862.804        237.522    17.909     0.037  3.28
OBS:  57696.20933     i     22702.927        368.242    16.610     0.018  2.02
OBS:  57705.20775     i     22799.724        419.429    16.605     0.020  1.89
OBS:  57712.20392     i     17969.132        353.780    16.864     0.021  3.02
OBS:  57736.20749     i     13560.193        297.230    17.169     0.024  2.03
OBS:  57750.20987     i      6472.241        314.504    17.972     0.053  3.85
OBS:  57696.20969     z     23466.050        416.256    16.574     0.019  2.01
OBS:  57705.20811     z     24345.277        495.588    16.534     0.022  1.97
OBS:  57712.20427     z     18478.740        398.478    16.833     0.023  2.89
OBS:  57736.20784     z     14718.976        356.881    17.080     0.026  1.96
OBS:  57750.20954     z      5639.263        350.006    18.122     0.067  2.90
END:
