SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PSNJ2043531
RA: 310.9716230
DECL: 12.5084909
MWEBV: 0.0857
FILTERS: griz
REDSHIFT_HELIO: 0.015497 +- 1.7e-05
REDSHIFT_FINAL: 0.0145078929079 +- 1.7e-05
SEARCH_PEAKMJD: 57227.42573
HOSTGAL_LOGMASS: 11.145 +- 0.001
VPEC: 232.136
VPEC_ERR: 250.000
NOBS: 29
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57217.52122     g     MD     12338.183        237.623    17.272     0.021  6.58     0
OBS:  57222.40869     g     MD     28939.051        455.514    16.346     0.017  4.57     0
OBS:  57227.42535     g     MD     33680.187        519.558    16.182     0.017  4.36     0
OBS:  57231.36950     g     MD     27293.457        450.497    16.410     0.018  4.04     0
OBS:  57239.49893     g     MD     10357.751        280.777    17.462     0.029  8.64     0
OBS:  57246.32141     g     MD      5429.290        139.617    18.163     0.028  3.68     0
OBS:  57256.33531     g     MD      2646.954        140.630    18.943     0.057  4.77     0
OBS:  57217.52166     r     MD     14347.953        263.035    17.108     0.020  6.87     0
OBS:  57222.40904     r     MD     32367.705        488.890    16.225     0.016  3.83     0
OBS:  57227.42573     r     MD     39856.144        588.690    15.999     0.016  3.87     0
OBS:  57231.36985     r     MD     35838.421        544.910    16.114     0.016  3.84     0
OBS:  57239.49928     r     MD     23474.056        385.138    16.574     0.018  6.34     0
OBS:  57246.32182     r     MD     16837.697        278.573    16.934     0.018  3.12     0
OBS:  57256.33571     r     MD      7982.158        175.865    17.745     0.024  4.14     0
OBS:  57217.52203     i     MD     12078.625        247.032    17.295     0.022  5.62     0
OBS:  57222.40946     i     MD     27135.056        423.167    16.416     0.017  3.90     0
OBS:  57227.42605     i     MD     29112.970        444.526    16.340     0.017  3.74     0
OBS:  57231.37025     i     MD     25769.809        408.586    16.472     0.017  3.86     0
OBS:  57239.49969     i     MD     19965.086        353.470    16.749     0.019  5.65     0
OBS:  57246.32218     i     MD     19502.318        317.153    16.775     0.018  2.96     0
OBS:  57256.33608     i     MD      8186.028        187.194    17.717     0.025  4.08     0
OBS:  57222.40977     z     MD     22396.233        386.443    16.625     0.019  3.73     0
OBS:  57227.42642     z     MD     25590.414        422.352    16.480     0.018  3.55     0
OBS:  57231.37056     z     MD     25041.685        424.513    16.503     0.018  3.16     0
OBS:  57239.50005     z     MD     22858.738        425.472    16.602     0.020  4.83     0
OBS:  57246.32255     z     MD     19155.044        337.269    16.794     0.019  2.71     0
OBS:  57256.33645     z     MD      9224.197        236.410    17.588     0.028  3.98     0
OBS:  57189.61586     z     MD       207.990         99.873    21.705     0.519  3.17     0
OBS:  57192.60707     z     MD        49.263         63.742    23.269     1.397  2.69     0
END:
