SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-16dw
RA: 202.5032282
DECL: -27.9739390
MWEBV: 0.0456
FILTERS: griz
REDSHIFT_HELIO: 0.034657 +- 0.00015
REDSHIFT_FINAL: 0.0356210304232 +- 0.00015
SEARCH_PEAKMJD: 57482.43304
HOSTGAL_LOGMASS: 10.350 +- 0.001
VPEC: -324.647
VPEC_ERR: 250.000
NOBS: 34
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57482.43262     g     MD     15663.628        280.783    17.013     0.019  6.20     0
OBS:  57488.44246     g     MD     13616.530        260.871    17.165     0.021  4.94     0
OBS:  57495.40830     g     MD      9147.524        297.204    17.597     0.035  8.12     0
OBS:  57503.42059     g     MD      4637.489        200.561    18.334     0.047  5.13     0
OBS:  57509.36730     g     MD      2576.588        129.662    18.972     0.054  5.19     0
OBS:  57512.39512     g     MD      2312.951        137.580    19.090     0.064  8.04     0
OBS:  57523.31438     g     MD      1330.679        158.643    19.690     0.129  6.12     0
OBS:  57536.26261     g     MD       941.209        109.635    20.066     0.126  5.24     0
OBS:  57482.43304     r     MD     16962.338        287.828    16.926     0.018  6.01     0
OBS:  57488.44287     r     MD     14993.063        261.525    17.060     0.019  4.50     0
OBS:  57495.40871     r     MD     10779.360        265.528    17.419     0.027  7.50     0
OBS:  57503.42101     r     MD      8300.226        195.587    17.702     0.025  4.48     0
OBS:  57509.36771     r     MD      6764.183        167.300    17.924     0.027  5.58     0
OBS:  57512.39554     r     MD      5901.681        155.237    18.073     0.028  6.60     0
OBS:  57523.31479     r     MD      3579.211        142.113    18.616     0.043  5.28     0
OBS:  57536.26303     r     MD      2136.498        104.445    19.176     0.053  4.87     0
OBS:  57482.43339     i     MD     10843.378        221.849    17.412     0.022  5.85     0
OBS:  57488.44322     i     MD      8916.173        189.100    17.625     0.023  3.99     0
OBS:  57495.40906     i     MD      5790.410        214.569    18.093     0.040  6.50     0
OBS:  57503.42135     i     MD      5543.305        162.651    18.141     0.032  4.35     0
OBS:  57509.36806     i     MD      6805.957        180.804    17.918     0.029  5.54     0
OBS:  57512.39589     i     MD      6127.929        192.636    18.032     0.034  6.87     0
OBS:  57523.31514     i     MD      3241.353        136.585    18.723     0.046  4.61     0
OBS:  57536.26338     i     MD      1912.373        119.651    19.296     0.068  4.45     0
OBS:  57505.37641     i     MD      6547.288        122.232    17.960     0.020  4.48     0
OBS:  57505.38636     i     MD      6863.442        127.090    17.909     0.020  4.62     0
OBS:  57505.39603     i     MD      5677.063        117.407    18.115     0.022  5.15     0
OBS:  57523.34988     i     MD      2960.052         90.154    18.822     0.033  5.94     0
OBS:  57495.40941     z     MD      7354.081        307.232    17.834     0.045  6.47     0
OBS:  57503.42170     z     MD      6478.983        202.410    17.971     0.034  3.92     0
OBS:  57509.36841     z     MD      6763.768        236.675    17.925     0.038  5.03     0
OBS:  57512.39624     z     MD      6436.060        278.256    17.978     0.047  6.51     0
OBS:  57523.31549     z     MD      3488.569        218.782    18.643     0.068  4.69     0
OBS:  57536.26372     z     MD      1725.634        169.155    19.408     0.106  3.96     0
END:
