SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PSNJ0252467
RA: 43.1946106
DECL: 46.9464372
MWEBV: 0.1700
FILTERS: griz
REDSHIFT_HELIO: 0.028086 +- 2.8e-05
REDSHIFT_FINAL: 0.0274976801817 +- 2.8e-05
SEARCH_PEAKMJD: 57288.57246
HOSTGAL_LOGMASS: 10.842 +- 0.083
VPEC: 155.023
VPEC_ERR: 250.000
NOBS: 28
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57288.57205     g     MD     19898.403        331.465    16.753     0.018  3.78     0
OBS:  57298.46096     g     MD     14655.068        287.865    17.085     0.021  4.86     0
OBS:  57305.47665     g     MD      9192.832        195.319    17.591     0.023  4.99     0
OBS:  57308.50623     g     MD      6026.746        174.573    18.050     0.031  6.28     0
OBS:  57314.42407     g     MD      3780.908        111.470    18.556     0.032  5.06     0
OBS:  57320.35270     g     MD      2320.574        184.945    19.086     0.086  3.90     0
OBS:  57328.48144     g     MD      1712.877        103.945    19.416     0.066  3.55     0
OBS:  57288.57246     r     MD     19866.148        318.538    16.755     0.017  3.47     0
OBS:  57298.46137     r     MD     15444.579        271.167    17.028     0.019  4.29     0
OBS:  57305.47704     r     MD     12081.604        215.859    17.295     0.019  4.07     0
OBS:  57308.50663     r     MD      9651.976        192.084    17.538     0.022  5.26     0
OBS:  57314.42447     r     MD      8295.564        161.247    17.703     0.021  4.72     0
OBS:  57320.35312     r     MD      7942.124        189.215    17.750     0.026  3.64     0
OBS:  57328.48183     r     MD      4286.312        134.104    18.420     0.034  4.02     0
OBS:  57288.57283     i     MD     12350.667        221.617    17.271     0.019  3.14     0
OBS:  57298.46173     i     MD      8716.187        182.592    17.649     0.023  4.03     0
OBS:  57305.47740     i     MD      6615.845        145.976    17.949     0.024  4.23     0
OBS:  57308.50699     i     MD      7043.335        165.115    17.881     0.025  5.21     0
OBS:  57314.42483     i     MD      8185.288        167.496    17.717     0.022  4.13     0
OBS:  57320.35347     i     MD      8080.062        196.958    17.731     0.026  3.02     0
OBS:  57328.48219     i     MD      4182.085        118.405    18.447     0.031  3.08     0
OBS:  57288.57319     z     MD     13023.717        258.037    17.213     0.021  2.93     0
OBS:  57298.46209     z     MD      9692.739        221.633    17.534     0.025  3.85     0
OBS:  57305.47776     z     MD      8741.354        206.401    17.646     0.026  4.18     0
OBS:  57308.50735     z     MD      8937.332        233.321    17.622     0.028  5.11     0
OBS:  57314.42518     z     MD      9115.092        212.300    17.601     0.025  3.74     0
OBS:  57320.35383     z     MD      9575.526        255.134    17.547     0.029  2.69     0
OBS:  57328.48256     z     MD      5574.202        166.530    18.135     0.032  3.25     0
END:
