SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ATLAS16agv
RA: 250.2903124
DECL: 50.9724476
MWEBV: 0.0212
FILTERS: griz
REDSHIFT_HELIO: 0.04779 +- 0.00017
REDSHIFT_FINAL: 0.0477770550748 +- 0.00017
SEARCH_PEAKMJD: 57467.53806
HOSTGAL_LOGMASS: 6.000 +- 0.100
VPEC: 134.743
VPEC_ERR: 250.000
NOBS: 32
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57467.53806     g     MD     14947.575        304.277    17.064     0.022  5.13     0
OBS:  57472.58237     g     MD     14262.887        295.435    17.114     0.022  4.91     0
OBS:  57477.60021     g     MD     12381.675        234.999    17.268     0.021  4.51     0
OBS:  57482.46565     g     MD      9191.337        234.792    17.592     0.028  9.47     0
OBS:  57490.58762     g     MD      4901.442        145.614    18.274     0.032  6.85     0
OBS:  57497.59745     g     MD      2621.592        134.093    18.954     0.055  4.87     0
OBS:  57507.52130     g     MD      1865.789        124.677    19.323     0.072  5.59     0
OBS:  57467.53847     r     MD     12727.235        253.030    17.238     0.022  5.07     0
OBS:  57472.58278     r     MD     12611.633        245.572    17.248     0.021  5.08     0
OBS:  57477.60060     r     MD     11652.545        209.716    17.334     0.020  4.10     0
OBS:  57482.46606     r     MD      8958.755        185.773    17.619     0.022  6.30     0
OBS:  57490.58802     r     MD      6830.192        152.148    17.914     0.024  6.05     0
OBS:  57497.59786     r     MD      5761.212        139.473    18.099     0.026  4.66     0
OBS:  57507.52170     r     MD      4338.738        129.896    18.407     0.032  4.94     0
OBS:  57467.53882     i     MD      8293.625        193.161    17.703     0.025  4.84     0
OBS:  57472.58313     i     MD      6839.106        168.709    17.913     0.027  4.50     0
OBS:  57477.60096     i     MD      6308.433        141.787    18.000     0.024  3.58     0
OBS:  57482.46640     i     MD      4508.437        139.742    18.365     0.034  5.62     0
OBS:  57490.58837     i     MD      3746.488        121.706    18.566     0.035  5.32     0
OBS:  57497.59822     i     MD      4482.574        131.722    18.371     0.032  4.34     0
OBS:  57507.52206     i     MD      3914.006        121.243    18.518     0.033  3.79     0
OBS:  57531.44339     i     MD      1339.855         70.264    19.682     0.057  5.40     0
OBS:  57531.45680     i     MD      1364.968         61.868    19.662     0.049  4.51     0
OBS:  57531.47023     i     MD      1243.689         59.252    19.763     0.051  4.53     0
OBS:  57531.48364     i     MD      1469.882         75.341    19.582     0.055  5.86     0
OBS:  57467.53918     z     MD      7368.102        216.312    17.832     0.032  4.58     0
OBS:  57472.58349     z     MD      6688.790        195.183    17.937     0.032  4.07     0
OBS:  57477.60132     z     MD      5668.773        175.238    18.116     0.033  3.76     0
OBS:  57482.46676     z     MD      4496.689        205.027    18.368     0.049  5.14     0
OBS:  57490.58874     z     MD      4114.762        163.288    18.464     0.043  4.63     0
OBS:  57497.59857     z     MD      3473.458        148.757    18.648     0.046  3.91     0
OBS:  57507.52242     z     MD      3350.426        164.481    18.687     0.053  3.67     0
END:
