SURVEY: FOUNDATION
SNTYPE: 1
SNID: PSNJ0107203
RA: 16.8346126
DECL: 32.3997363
MWEBV: 0.0596 +- 0.0030
FILTERS: griz
REDSHIFT_HELIO: 0.0170050 +- 0.0000390
REDSHIFT_FINAL: 0.0160164 +- 0.0000390
SEARCH_PEAKMJD: 57353.35670
HOSTGAL_LOGMASS: 11.043 +- 0.001
VPEC: 397.143
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 33
NVAR: 9
VARLIST:      MJD   FLT       FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57344.29044     g     40783.230        621.145    15.974     0.017  1.64
OBS:  57353.35670     g     80676.391       1227.619    15.233     0.017  3.00
OBS:  57358.20647     g     66087.845        971.647    15.450     0.016  2.86
OBS:  57363.25171     g     44760.316        672.604    15.873     0.016  1.90
OBS:  57369.20873     g     22636.217        391.517    16.613     0.019  3.07
OBS:  57380.21202     g      8988.097        241.552    17.616     0.029  2.24
OBS:  57344.29082     r     37565.370        563.287    16.063     0.016  1.58
OBS:  57353.35709     r     80018.947       1181.641    15.242     0.016  2.48
OBS:  57358.20687     r     64368.409        930.976    15.478     0.016  2.33
OBS:  57363.25210     r     44700.908        698.601    15.874     0.017  1.69
OBS:  57369.20911     r     41467.323        622.838    15.956     0.016  2.43
OBS:  57380.21241     r     19956.371        336.654    16.750     0.018  1.95
OBS:  57329.46883     r       -24.555         45.027       nan     1.980  2.26
OBS:  57329.47989     r       -59.295         49.886       nan     0.909  2.59
OBS:  57329.49059     r       -61.138         53.767       nan     0.950  2.71
OBS:  57329.50092     r       -65.735         59.689       nan     0.981  2.95
OBS:  57344.29118     i     32425.878        491.309    16.223     0.016  1.47
OBS:  57353.35746     i     49526.404        762.324    15.763     0.017  2.03
OBS:  57358.20722     i     36494.439        551.190    16.094     0.016  2.07
OBS:  57363.25248     i     25947.466        419.210    16.465     0.018  1.57
OBS:  57369.20948     i     31292.758        489.803    16.261     0.017  2.75
OBS:  57380.21278     i     19022.443        318.061    16.802     0.018  1.74
OBS:  57410.22897     i      5208.590        104.335    18.208     0.022  1.94
OBS:  57410.24021     i      5029.671        107.517    18.246     0.023  2.20
OBS:  57410.25142     i      5190.016        126.972    18.212     0.026  2.86
OBS:  57410.26265     i      5319.989        119.897    18.185     0.024  2.58
OBS:  57344.29155     z     29447.584        479.118    16.327     0.018  1.43
OBS:  57353.35782     z     46352.611        758.990    15.835     0.018  1.82
OBS:  57358.20758     z     37137.931        610.133    16.075     0.018  2.14
OBS:  57363.25285     z     35138.768        552.786    16.136     0.017  1.45
OBS:  57369.20985     z     35324.247        573.920    16.130     0.018  1.98
OBS:  57380.21315     z     20498.605        368.833    16.721     0.019  1.69
OBS:  57374.20165     z     32066.504        533.729    16.235     0.018  3.06
END:
