SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-15fs
RA: 284.6699231
DECL: 43.4688739
MWEBV: 0.0775
FILTERS: griz
REDSHIFT_HELIO: 0.02902 +- 4.7e-05
REDSHIFT_FINAL: 0.0285168727329 +- 4.7e-05
SEARCH_PEAKMJD: 57110.63102
HOSTGAL_LOGMASS: 10.379 +- 0.001
VPEC: 212.966
VPEC_ERR: 250.000
NOBS: 46
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57110.63102     g     MD     25732.480        377.525    16.474     0.016  8.47     0
OBS:  57118.62666     g     MD     22533.816        353.157    16.618     0.017  6.64     0
OBS:  57122.60024     g     MD     19786.167        303.453    16.759     0.017  6.55     0
OBS:  57130.58912     g     MD      9771.826        191.104    17.525     0.021  5.54     0
OBS:  57133.61287     g     MD      7829.772        210.551    17.766     0.029  7.63     0
OBS:  57144.59045     g     MD      3513.116        146.242    18.636     0.045  5.24     0
OBS:  57153.51214     g     MD      2980.679        510.959    18.814     0.185  5.26     0
OBS:  57110.63218     r     MD     24628.306        358.640    16.521     0.016  6.87     0
OBS:  57118.62737     r     MD     24290.394        360.100    16.536     0.016  5.26     0
OBS:  57120.62689     r     MD     23125.579        340.754    16.590     0.016  6.02     0
OBS:  57122.60107     r     MD     21448.279        319.746    16.672     0.016  6.10     0
OBS:  57130.58960     r     MD     15767.585        263.655    17.006     0.018  5.08     0
OBS:  57133.61334     r     MD     14799.688        278.828    17.074     0.020  6.35     0
OBS:  57144.59093     r     MD      9325.881        187.567    17.576     0.022  4.93     0
OBS:  57153.51261     r     MD      5892.049        886.119    18.074     0.162  5.37     0
OBS:  57110.63297     i     MD     16059.005        246.119    16.986     0.017  5.89     0
OBS:  57118.62804     i     MD     13609.346        218.590    17.165     0.017  4.69     0
OBS:  57120.62768     i     MD     13228.947        213.241    17.196     0.017  5.74     0
OBS:  57122.60186     i     MD     12187.971        203.605    17.285     0.018  6.13     0
OBS:  57130.59004     i     MD     10242.136        199.206    17.474     0.021  4.72     0
OBS:  57133.61378     i     MD     10780.877        221.358    17.418     0.022  5.04     0
OBS:  57144.59137     i     MD      9508.259        192.373    17.555     0.022  4.38     0
OBS:  57153.51304     i     MD      5787.733       1737.068    18.094     0.324  5.24     0
OBS:  57147.55029     i     MD      8033.273        165.643    17.738     0.022  5.69     0
OBS:  57147.55964     i     MD      8103.903        156.219    17.728     0.021  4.88     0
OBS:  57147.56904     i     MD      8128.227        172.286    17.725     0.023  6.38     0
OBS:  57147.57846     i     MD      8337.560        164.415    17.697     0.021  5.02     0
OBS:  57151.52789     i     MD      5377.714        197.170    18.174     0.040  4.20     0
OBS:  57151.54081     i     MD      5812.759        228.335    18.089     0.042  5.98     0
OBS:  57151.55371     i     MD      5623.581        198.614    18.125     0.038  5.04     0
OBS:  57151.56662     i     MD      5801.976        191.288    18.091     0.036  4.74     0
OBS:  57153.59093     i     MD      5047.546        107.353    18.242     0.023  3.95     0
OBS:  57153.59709     i     MD      5265.125        111.774    18.196     0.023  3.55     0
OBS:  57153.60327     i     MD      5462.298        110.137    18.157     0.022  4.09     0
OBS:  57153.58475     i     MD      5602.581        109.678    18.129     0.021  4.12     0
OBS:  57110.63377     z     MD     16052.354        262.647    16.986     0.018  5.68     0
OBS:  57118.62873     z     MD     14562.148        248.405    17.092     0.018  4.35     0
OBS:  57120.62848     z     MD     14069.786        241.945    17.129     0.019  5.82     0
OBS:  57122.60265     z     MD     13102.918        226.730    17.207     0.019  4.85     0
OBS:  57130.59049     z     MD     12163.480        257.644    17.287     0.023  4.55     0
OBS:  57133.61422     z     MD     12249.596        326.862    17.280     0.029  5.17     0
OBS:  57144.59182     z     MD     10289.730        241.331    17.469     0.025  4.32     0
OBS:  57153.51348     z     MD      5410.197        395.413    18.167     0.079  4.71     0
OBS:  57148.57788     z     MD      8359.796        177.557    17.695     0.023  3.27     0
OBS:  57148.61171     z     MD      9045.197        197.154    17.609     0.024  3.74     0
OBS:  57148.62054     z     MD      8695.996        205.063    17.652     0.026  4.11     0
END:
