SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-16ip
RA: 36.8406920
DECL: -23.9286812
MWEBV: 0.0168
FILTERS: griz
REDSHIFT_HELIO: 0.017008 +- 0.0001
REDSHIFT_FINAL: 0.0163303619577 +- 0.0001
SEARCH_PEAKMJD: 57617.57114
HOSTGAL_LOGMASS: 9.953 +- 0.006
VPEC: 198.146
VPEC_ERR: 250.000
NOBS: 45
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57612.61137     g     MD     49621.127        764.739    15.761     0.017  8.16     0
OBS:  57616.61425     g     MD     74390.098       1097.474    15.321     0.016  5.19     0
OBS:  57617.57114     g     MD     77429.537       1141.724    15.278     0.016  4.40     0
OBS:  57626.56308     g     MD     56514.616        858.409    15.620     0.016  7.90     0
OBS:  57638.57650     g     MD     20445.825        359.971    16.723     0.019  3.79     0
OBS:  57653.52033     g     MD      8337.327        225.910    17.697     0.029  3.97     0
OBS:  57669.47841     g     MD      4635.924        220.961    18.335     0.051  5.37     0
OBS:  57690.39910     g     MD      3992.632        204.039    18.497     0.055  6.85     0
OBS:  57612.61179     r     MD     48045.584        744.811    15.796     0.017  9.86     0
OBS:  57616.61466     r     MD     71422.171       1043.998    15.365     0.016  4.04     0
OBS:  57617.57155     r     MD     68165.972       1001.423    15.416     0.016  3.86     0
OBS:  57626.56349     r     MD     60551.062        901.949    15.545     0.016  6.51     0
OBS:  57638.57691     r     MD     33161.751        515.541    16.198     0.017  3.76     0
OBS:  57653.52074     r     MD     16378.923        304.378    16.964     0.020  3.83     0
OBS:  57669.47882     r     MD      8907.101        243.472    17.626     0.030  4.54     0
OBS:  57690.39951     r     MD      5601.943        224.878    18.129     0.043  5.82     0
OBS:  57700.43782     r     MD      4670.934        254.135    18.326     0.059  6.15     0
OBS:  57612.61213     i     MD     39400.739        654.275    16.011     0.018  7.09     0
OBS:  57616.61501     i     MD     46598.448        725.351    15.829     0.017  3.88     0
OBS:  57617.57190     i     MD     44687.979        684.828    15.875     0.017  3.37     0
OBS:  57626.56384     i     MD     25008.219        449.272    16.505     0.019  5.87     0
OBS:  57638.57726     i     MD     23988.116        411.881    16.550     0.019  3.56     0
OBS:  57653.52109     i     MD     12838.901        282.035    17.229     0.024  3.50     0
OBS:  57669.47918     i     MD      5497.220        257.147    18.150     0.051  4.32     0
OBS:  57690.39987     i     MD      1248.154        242.775    19.759     0.210  5.92     0
OBS:  57700.43817     i     MD       818.954        288.635    20.217     0.381  5.58     0
OBS:  57653.53338     i     MD     13210.803        222.449    17.198     0.018  3.52     0
OBS:  57653.54506     i     MD     12566.760        211.654    17.252     0.018  3.24     0
OBS:  57653.55670     i     MD     13708.255        226.691    17.158     0.018  3.34     0
OBS:  57653.56834     i     MD     12318.207        211.197    17.274     0.019  3.13     0
OBS:  57673.44610     i     MD      5912.482        153.894    18.071     0.028  4.32     0
OBS:  57673.45642     i     MD      5622.302        151.919    18.125     0.029  4.39     0
OBS:  57673.46673     i     MD      4839.999        150.718    18.288     0.034  5.07     0
OBS:  57673.47706     i     MD      5734.044        161.099    18.104     0.030  5.08     0
OBS:  57612.61248     z     MD     34402.270        720.983    16.159     0.023  7.42     0
OBS:  57616.61537     z     MD     41396.850        710.321    15.958     0.019  3.70     0
OBS:  57617.57225     z     MD     42868.677        701.915    15.920     0.018  3.25     0
OBS:  57626.56419     z     MD     30094.920        616.620    16.304     0.022  6.79     0
OBS:  57638.57761     z     MD     29357.750        521.963    16.331     0.019  3.51     0
OBS:  57653.52144     z     MD     13062.339        335.556    17.210     0.028  3.34     0
OBS:  57669.47953     z     MD      3224.972        326.749    18.729     0.109  4.13     0
OBS:  57690.40022     z     MD      2425.818        326.369    19.038     0.145  5.11     0
OBS:  57700.43852     z     MD      2208.583        398.810    19.140     0.195  5.45     0
OBS:  57617.63087     z     MD     43173.051        664.886    15.912     0.017  3.71     0
OBS:  57618.62899     z     MD     42927.660        658.093    15.918     0.017  3.92     0
END:
