SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-15mi
RA: 210.8154408
DECL: 41.6041406
MWEBV: 0.0181
FILTERS: griz
REDSHIFT_HELIO: 0.0344225 +- 5.01872e-06
REDSHIFT_FINAL: 0.0349960928173 +- 5.01872e-06
SEARCH_PEAKMJD: 57221.27483
HOSTGAL_LOGMASS: 9.755 +- 0.297
VPEC: 277.061
VPEC_ERR: 250.000
NOBS: 32
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57216.26818     g     MD     24044.579        392.621    16.547     0.018  6.98     0
OBS:  57221.27483     g     MD     24714.510        416.194    16.518     0.018  5.67     0
OBS:  57227.27426     g     MD     23249.084        382.562    16.584     0.018  5.32     0
OBS:  57233.26860     g     MD     15504.086        311.295    17.024     0.022  4.22     0
OBS:  57240.28168     g     MD      8287.514        205.924    17.704     0.027  6.26     0
OBS:  57251.25215     g     MD      4414.401        163.095    18.388     0.040  5.10     0
OBS:  57216.26852     r     MD     19713.794        320.699    16.763     0.018  4.96     0
OBS:  57221.27518     r     MD     23844.086        393.696    16.557     0.018  5.84     0
OBS:  57227.27462     r     MD     22937.347        368.219    16.599     0.017  4.28     0
OBS:  57233.26901     r     MD     17234.528        297.037    16.909     0.019  3.68     0
OBS:  57240.28215     r     MD     14321.820        259.840    17.110     0.020  4.98     0
OBS:  57251.25256     r     MD      9698.422        201.749    17.533     0.023  4.63     0
OBS:  57216.26893     i     MD     14812.641        259.257    17.073     0.019  4.05     0
OBS:  57221.27553     i     MD     13178.592        259.999    17.200     0.021  5.32     0
OBS:  57227.27497     i     MD     12971.686        239.435    17.218     0.020  3.79     0
OBS:  57233.26933     i     MD      8777.047        179.410    17.642     0.022  2.89     0
OBS:  57240.28246     i     MD      9507.385        203.799    17.555     0.023  4.75     0
OBS:  57251.25291     i     MD      8173.136        184.261    17.719     0.024  4.10     0
OBS:  57202.33252     i     MD        10.384         51.833    24.959     5.391  3.50     0
OBS:  57202.35546     i     MD       -29.887         48.310       nan     1.746  3.37     0
OBS:  57202.34401     i     MD        48.372         54.600    23.289     1.219  3.77     0
OBS:  57202.36699     i     MD        71.515         57.017    22.864     0.861  3.75     0
OBS:  57203.32952     i     MD       464.803         61.316    20.832     0.142  3.57     0
OBS:  57203.34099     i     MD       384.065         60.637    21.039     0.171  3.59     0
OBS:  57203.35253     i     MD       393.214         66.568    21.013     0.183  3.91     0
OBS:  57203.36399     i     MD       344.556         60.056    21.157     0.188  3.40     0
OBS:  57221.27593     z     MD     14193.209        311.665    17.120     0.024  4.53     0
OBS:  57227.27537     z     MD     11853.904        245.035    17.315     0.022  3.04     0
OBS:  57233.26968     z     MD      9793.420        229.353    17.523     0.025  3.27     0
OBS:  57240.28286     z     MD     11153.104        293.625    17.382     0.028  5.41     0
OBS:  57251.25326     z     MD      8353.090        234.163    17.695     0.030  3.75     0
OBS:  57237.25443     z     MD     10051.014        190.974    17.494     0.021  3.22     0
END:
