SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: AT2017po
RA: 240.9654991
DECL: 39.9900768
MWEBV: 0.0119
FILTERS: griz
REDSHIFT_HELIO: 0.0318278 +- 7.15691e-06
REDSHIFT_FINAL: 0.0320068669448 +- 7.15691e-06
SEARCH_PEAKMJD: 57786.63655
HOSTGAL_LOGMASS: 9.682 +- 0.082
VPEC: 95.386
VPEC_ERR: 250.000
NOBS: 32
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57786.63655     g     MD     28092.784        438.999    16.379     0.017  4.94     0
OBS:  57797.54767     g     MD     15628.625        328.676    17.015     0.023  5.47     0
OBS:  57802.65496     g     MD     10394.616        209.114    17.458     0.022  4.93     0
OBS:  57817.61660     g     MD      4426.257        386.715    18.385     0.094  5.32     0
OBS:  57825.63048     g     MD      2164.988        149.528    19.161     0.075  4.45     0
OBS:  57786.63696     r     MD     25237.661        397.012    16.495     0.017  5.85     0
OBS:  57797.54809     r     MD     15238.598        281.378    17.043     0.020  4.74     0
OBS:  57802.65535     r     MD     14594.151        250.821    17.090     0.019  5.04     0
OBS:  57817.61700     r     MD      8374.526        362.159    17.693     0.047  5.14     0
OBS:  57825.63087     r     MD      5425.581        142.880    18.164     0.028  3.85     0
OBS:  57786.63732     i     MD     14349.210        250.723    17.108     0.019  5.32     0
OBS:  57797.54844     i     MD      7083.068        183.766    17.874     0.028  4.28     0
OBS:  57802.65570     i     MD      8495.578        178.968    17.677     0.023  4.44     0
OBS:  57817.61735     i     MD      8209.809        385.293    17.714     0.051  4.94     0
OBS:  57825.63123     i     MD      4249.574        126.866    18.429     0.032  3.68     0
OBS:  57827.54811     i     MD      4021.115         81.379    18.489     0.022  3.55     0
OBS:  57827.53712     i     MD      3930.465         98.243    18.514     0.027  3.64     0
OBS:  57827.55910     i     MD      3726.059         78.676    18.572     0.023  3.78     0
OBS:  57827.57012     i     MD      3731.435         79.256    18.570     0.023  4.11     0
OBS:  57827.57953     i     MD      3737.913         80.341    18.568     0.023  3.89     0
OBS:  57827.58995     i     MD      3772.121         82.168    18.559     0.024  4.04     0
OBS:  57827.60043     i     MD      3883.805         88.549    18.527     0.025  4.88     0
OBS:  57827.61084     i     MD      4002.246         85.956    18.494     0.023  4.57     0
OBS:  57855.53426     i     MD      1529.970         66.951    19.538     0.047  3.57     0
OBS:  57855.54622     i     MD      1507.371         76.329    19.554     0.055  4.62     0
OBS:  57855.55816     i     MD      1471.666         75.997    19.580     0.056  4.70     0
OBS:  57855.57016     i     MD      1611.563         74.137    19.482     0.050  4.62     0
OBS:  57786.63767     z     MD     13281.661        272.386    17.192     0.022  5.32     0
OBS:  57797.54879     z     MD      8569.508        248.849    17.668     0.031  4.57     0
OBS:  57802.65607     z     MD      9352.679        225.124    17.573     0.026  3.98     0
OBS:  57817.61772     z     MD      8167.043        392.094    17.720     0.052  4.92     0
OBS:  57825.63160     z     MD      4034.280        151.606    18.486     0.041  3.43     0
END:
