SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-15jl
RA: 230.6711005
DECL: 50.9766413
MWEBV: 0.0138
FILTERS: griz
REDSHIFT_HELIO: 0.0346822 +- 9.61679e-06
REDSHIFT_FINAL: 0.0349203635469 +- 9.61679e-06
SEARCH_PEAKMJD: 57163.42531
HOSTGAL_LOGMASS: 9.101 +- 0.142
VPEC: 79.629
VPEC_ERR: 250.000
NOBS: 36
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57163.42531     g     MD     22586.078        374.603    16.615     0.018  4.79     0
OBS:  57166.41003     g     MD     21356.060        351.800    16.676     0.018  4.46     0
OBS:  57171.36272     g     MD     19571.143        345.098    16.771     0.019  4.58     0
OBS:  57177.26253     g     MD     15051.482        291.948    17.056     0.021  5.39     0
OBS:  57184.45777     g     MD      7995.592        187.087    17.743     0.025  4.55     0
OBS:  57191.44908     g     MD      4396.241        126.770    18.392     0.031  4.36     0
OBS:  57199.27341     g     MD      2369.935        120.063    19.063     0.055  3.75     0
OBS:  57163.42572     r     MD     18289.664        301.829    16.844     0.018  4.84     0
OBS:  57166.41043     r     MD     19384.290        313.081    16.781     0.018  4.04     0
OBS:  57171.36314     r     MD     18243.287        308.570    16.847     0.018  4.32     0
OBS:  57177.26295     r     MD     13777.836        266.212    17.152     0.021  5.85     0
OBS:  57184.45820     r     MD     10536.160        201.523    17.443     0.021  4.59     0
OBS:  57191.44951     r     MD      9128.337        175.954    17.599     0.021  3.64     0
OBS:  57199.27381     r     MD      6154.629        146.177    18.027     0.026  3.63     0
OBS:  57163.42610     i     MD     12472.786        226.761    17.260     0.020  3.75     0
OBS:  57166.41081     i     MD     10749.657        203.643    17.422     0.021  4.17     0
OBS:  57171.36351     i     MD      9761.602        195.633    17.526     0.022  3.56     0
OBS:  57177.26332     i     MD      6159.560        175.075    18.026     0.031  5.37     0
OBS:  57184.45856     i     MD      5296.301        147.891    18.190     0.030  4.23     0
OBS:  57191.44988     i     MD      6201.365        140.418    18.019     0.025  3.36     0
OBS:  57199.27416     i     MD      6506.252        148.480    17.967     0.025  3.37     0
OBS:  57172.38719     i     MD      9909.279        155.833    17.510     0.017  3.04     0
OBS:  57172.40064     i     MD      9796.967        155.170    17.522     0.017  3.25     0
OBS:  57172.37380     i     MD      9998.067        156.805    17.500     0.017  3.30     0
OBS:  57172.41408     i     MD     10158.321        157.794    17.483     0.017  3.07     0
OBS:  57173.36102     i     MD      9318.614        156.012    17.577     0.018  4.62     0
OBS:  57173.37439     i     MD      9279.792        152.859    17.581     0.018  3.83     0
OBS:  57173.38778     i     MD      9451.596        158.214    17.561     0.018  4.42     0
OBS:  57173.40118     i     MD      9304.957        162.517    17.578     0.019  5.67     0
OBS:  57163.42648     z     MD     11395.064        247.934    17.358     0.024  3.38     0
OBS:  57166.41120     z     MD     11000.324        241.794    17.396     0.024  3.76     0
OBS:  57171.36389     z     MD      9007.161        219.625    17.614     0.026  3.55     0
OBS:  57177.26368     z     MD      7160.840        205.851    17.863     0.031  3.90     0
OBS:  57184.45893     z     MD      6474.139        206.952    17.972     0.035  3.94     0
OBS:  57191.45023     z     MD      6466.672        179.721    17.973     0.030  3.23     0
OBS:  57199.27453     z     MD      6442.909        190.800    17.977     0.032  3.04     0
END:
