SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ATLAS16cxr
RA: 272.0268727
DECL: 25.4087816
MWEBV: 0.1102
FILTERS: griz
REDSHIFT_HELIO: 0.01552 +- 0.001
REDSHIFT_FINAL: 0.0151869750953 +- 0.001
SEARCH_PEAKMJD: 57667.25361
HOSTGAL_LOGMASS: 8.271 +- 0.002
VPEC: 75.227
VPEC_ERR: 250.000
NOBS: 24
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57658.23065     g     MD     25110.298        418.558    16.500     0.018  5.56     0
OBS:  57667.25320     g     MD     43078.883        698.105    15.914     0.018  7.50     0
OBS:  57672.24281     g     MD     37184.443        577.739    16.074     0.017  4.29     0
OBS:  57678.23932     g     MD     27851.556        468.730    16.388     0.018  5.01     0
OBS:  57688.20875     g     MD     12257.855        241.099    17.279     0.021  5.65     0
OBS:  57698.20635     g     MD      5474.666        172.041    18.154     0.034  5.70     0
OBS:  57658.23105     r     MD     28520.164        460.656    16.362     0.018  5.48     0
OBS:  57667.25361     r     MD     45190.347        707.979    15.862     0.017  7.10     0
OBS:  57672.24322     r     MD     44735.784        662.964    15.873     0.016  3.98     0
OBS:  57678.23974     r     MD     29958.385        468.905    16.309     0.017  5.01     0
OBS:  57688.20916     r     MD     22464.119        361.843    16.621     0.017  5.08     0
OBS:  57698.20676     r     MD     15952.792        277.550    16.993     0.019  4.62     0
OBS:  57658.23142     i     MD     26991.038        433.061    16.422     0.017  5.09     0
OBS:  57667.25396     i     MD     31184.742        536.027    16.265     0.019  5.59     0
OBS:  57672.24357     i     MD     27214.247        437.977    16.413     0.017  3.47     0
OBS:  57678.24009     i     MD     16720.155        300.172    16.942     0.019  4.61     0
OBS:  57688.20951     i     MD     17170.191        303.338    16.913     0.019  4.95     0
OBS:  57698.20711     i     MD     17193.380        301.899    16.912     0.019  4.38     0
OBS:  57658.23179     z     MD     26564.581        462.106    16.439     0.019  4.24     0
OBS:  57667.25432     z     MD     35635.778        593.959    16.120     0.018  4.89     0
OBS:  57672.24393     z     MD     29755.878        505.061    16.316     0.018  3.20     0
OBS:  57678.24044     z     MD     23174.712        430.139    16.587     0.020  4.77     0
OBS:  57688.20987     z     MD     24811.302        439.138    16.513     0.019  4.70     0
OBS:  57698.20746     z     MD     19999.135        379.298    16.747     0.021  4.21     0
END:
