SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-15od
RA: 35.8049483
DECL: -4.5171839
MWEBV: 0.0255
FILTERS: griz
REDSHIFT_HELIO: 0.017603 +- 1.3e-05
REDSHIFT_FINAL: 0.0167927603543 +- 1.3e-05
SEARCH_PEAKMJD: 57255.60389
HOSTGAL_LOGMASS: 9.899 +- 0.001
VPEC: 137.894
VPEC_ERR: 250.000
NOBS: 28
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57255.60389     g     MD     71573.905       1051.428    15.363     0.016  6.13     0
OBS:  57262.52547     g     MD     60429.390        909.458    15.547     0.016  4.56     0
OBS:  57273.60166     g     MD     24369.120        412.304    16.533     0.018  6.20     0
OBS:  57284.51058     g     MD      9270.488        222.271    17.582     0.026  4.87     0
OBS:  57303.42379     g     MD      5207.407        152.645    18.208     0.032  4.49     0
OBS:  57314.42613     g     MD      4241.519        144.064    18.431     0.037  4.94     0
OBS:  57255.60428     r     MD     64703.238        942.985    15.473     0.016  5.80     0
OBS:  57262.52587     r     MD     57911.483        856.434    15.593     0.016  4.41     0
OBS:  57273.60206     r     MD     32121.098        500.914    16.233     0.017  4.93     0
OBS:  57284.51098     r     MD     20975.208        360.247    16.696     0.019  5.30     0
OBS:  57303.42420     r     MD      8940.770        186.154    17.622     0.023  4.07     0
OBS:  57314.42653     r     MD      6367.572        165.298    17.990     0.028  4.75     0
OBS:  57255.60463     i     MD     39878.289        612.355    15.998     0.017  5.19     0
OBS:  57262.52622     i     MD     31420.771        501.180    16.257     0.017  4.62     0
OBS:  57273.60241     i     MD     20727.823        359.943    16.709     0.019  4.76     0
OBS:  57284.51135     i     MD     20827.846        353.243    16.703     0.018  4.29     0
OBS:  57303.42455     i     MD      7315.503        173.864    17.839     0.026  4.00     0
OBS:  57314.42689     i     MD      4472.053        161.765    18.374     0.039  6.18     0
OBS:  57273.54834     i     MD     20051.246        298.388    16.745     0.016  4.44     0
OBS:  57273.56222     i     MD     20033.331        298.141    16.746     0.016  5.08     0
OBS:  57273.57610     i     MD     20000.846        298.957    16.747     0.016  5.09     0
OBS:  57273.58998     i     MD     20178.472        299.241    16.738     0.016  4.60     0
OBS:  57255.60499     z     MD     37559.395        613.646    16.063     0.018  4.64     0
OBS:  57262.52658     z     MD     30482.165        520.505    16.290     0.019  4.02     0
OBS:  57273.60277     z     MD     24844.060        455.551    16.512     0.020  5.08     0
OBS:  57284.51171     z     MD     21274.141        395.375    16.680     0.020  4.08     0
OBS:  57303.42490     z     MD      5626.589        203.079    18.124     0.039  3.99     0
OBS:  57314.42725     z     MD      3353.652        196.792    18.686     0.063  4.74     0
END:
