SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-15pn
RA: 60.8597601
DECL: -5.4920070
MWEBV: 0.0810
FILTERS: griz
REDSHIFT_HELIO: 0.0383575 +- 4.98053e-06
REDSHIFT_FINAL: 0.0380115517484 +- 4.98053e-06
SEARCH_PEAKMJD: 57277.57055
HOSTGAL_LOGMASS: 9.681 +- 0.096
VPEC: 460.246
VPEC_ERR: 250.000
NOBS: 43
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57277.57055     g     MD     10645.612        223.412    17.432     0.023  4.10     0
OBS:  57287.56350     g     MD      9197.042        195.347    17.591     0.023  5.61     0
OBS:  57292.58646     g     MD      7104.513        260.173    17.871     0.040  5.38     0
OBS:  57303.52234     g     MD      2792.557        103.450    18.885     0.040  3.45     0
OBS:  57309.52134     g     MD      1845.670        102.200    19.335     0.060  5.25     0
OBS:  57318.56597     g     MD      1026.134         92.518    19.972     0.097  5.14     0
OBS:  57328.54390     g     MD       821.914        106.512    20.213     0.140  4.37     0
OBS:  57277.57095     r     MD     10964.630        210.025    17.400     0.021  3.83     0
OBS:  57287.56391     r     MD      9830.707        193.506    17.519     0.021  4.93     0
OBS:  57292.58687     r     MD      7759.634        219.187    17.775     0.031  5.03     0
OBS:  57303.52274     r     MD      5907.406        129.541    18.072     0.024  3.17     0
OBS:  57309.52174     r     MD      4563.444        121.293    18.352     0.029  4.74     0
OBS:  57318.56637     r     MD      3038.609        105.489    18.793     0.038  4.34     0
OBS:  57328.54431     r     MD      1874.430         90.956    19.318     0.052  3.70     0
OBS:  57277.57131     i     MD      6859.478        157.591    17.909     0.025  3.40     0
OBS:  57287.56426     i     MD      4633.753        123.557    18.335     0.029  4.47     0
OBS:  57292.58723     i     MD      3592.152        153.785    18.612     0.046  4.46     0
OBS:  57303.52310     i     MD      3981.142        118.938    18.500     0.032  3.21     0
OBS:  57309.52210     i     MD      4322.048        125.969    18.411     0.032  4.69     0
OBS:  57318.56672     i     MD      2421.416        101.941    19.040     0.045  4.04     0
OBS:  57328.54466     i     MD      1373.185         86.080    19.656     0.068  3.21     0
OBS:  57264.56713     i     MD      1365.554         75.355    19.662     0.060  4.19     0
OBS:  57264.57961     i     MD      1278.761         67.912    19.733     0.057  3.97     0
OBS:  57264.59212     i     MD      1348.407         89.572    19.675     0.072  5.42     0
OBS:  57264.60468     i     MD      1515.981         73.503    19.548     0.052  4.26     0
OBS:  57319.47857     i     MD      2426.902         63.651    19.037     0.028  3.35     0
OBS:  57319.49124     i     MD      2270.099         61.339    19.110     0.029  3.23     0
OBS:  57319.50395     i     MD      2221.248         60.688    19.134     0.030  3.27     0
OBS:  57319.51668     i     MD      2195.883         61.178    19.146     0.030  3.26     0
OBS:  57320.41411     i     MD      2348.315         78.116    19.073     0.036  3.13     0
OBS:  57320.42743     i     MD      2147.429         69.137    19.170     0.035  3.15     0
OBS:  57320.43995     i     MD      2281.175         65.659    19.105     0.031  3.01     0
OBS:  57320.45252     i     MD      2143.645         60.430    19.172     0.030  2.82     0
OBS:  57320.45661     i     MD      2181.768         59.007    19.153     0.029  2.84     0
OBS:  57320.46893     i     MD      2155.274         71.369    19.166     0.036  3.76     0
OBS:  57320.48132     i     MD      2038.985         72.925    19.226     0.039  4.03     0
OBS:  57320.49368     i     MD      2142.971         59.786    19.172     0.030  3.14     0
OBS:  57287.56463     z     MD      4578.901        159.525    18.348     0.038  4.08     0
OBS:  57292.58759     z     MD      3764.720        200.867    18.561     0.058  4.63     0
OBS:  57303.52346     z     MD      4054.579        139.473    18.480     0.037  3.10     0
OBS:  57309.52247     z     MD      3781.175        171.986    18.556     0.049  4.50     0
OBS:  57318.56708     z     MD      2323.452        142.434    19.085     0.066  4.06     0
OBS:  57328.54502     z     MD      1436.590        135.199    19.607     0.102  3.37     0
END:
