SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: SN2017cjv
RA: 152.6901993
DECL: -3.7775206
MWEBV: 0.0260
FILTERS: griz
REDSHIFT_HELIO: 0.059528 +- 0.00014
REDSHIFT_FINAL: 0.0607191984435 +- 0.00014
SEARCH_PEAKMJD: 57839.39719
HOSTGAL_LOGMASS: 10.636 +- 0.013
VPEC: 10.468
VPEC_ERR: 250.000
NOBS: 32
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57839.39719     g     MD      6688.015        165.258    17.937     0.027  7.10     0
OBS:  57843.35199     g     MD      6260.147        177.579    18.009     0.031  7.14     0
OBS:  57863.25527     g     MD      1243.852         80.229    19.763     0.070  4.14     0
OBS:  57868.30967     g     MD       615.650        140.961    20.527     0.247  5.76     0
OBS:  57881.25819     g     MD       605.465        160.012    20.545     0.285  4.94     0
OBS:  57839.39759     r     MD      5883.195        142.014    18.076     0.026  6.14     0
OBS:  57843.35239     r     MD      5798.269        152.912    18.092     0.029  6.06     0
OBS:  57863.25566     r     MD      2657.531         88.605    18.939     0.036  3.63     0
OBS:  57868.31007     r     MD      1460.830        120.666    19.589     0.089  5.89     0
OBS:  57881.25860     r     MD       959.627        128.674    20.045     0.145  4.64     0
OBS:  57839.39795     i     MD      3971.243        138.092    18.503     0.038  5.87     0
OBS:  57843.35275     i     MD      3867.466        127.249    18.531     0.036  4.98     0
OBS:  57863.25602     i     MD      2221.437         99.832    19.133     0.049  3.45     0
OBS:  57868.31042     i     MD      1475.537        125.791    19.578     0.092  5.39     0
OBS:  57881.25895     i     MD      1001.254        134.694    19.999     0.145  4.72     0
OBS:  57854.37908     i     MD      1915.637        161.950    19.294     0.091  3.80     0
OBS:  57854.39209     i     MD      1396.927        332.900    19.637     0.257  5.26     0
OBS:  57854.40505     i     MD      1656.296        170.502    19.452     0.111  4.28     0
OBS:  57854.41798     i     MD      1878.430        174.342    19.316     0.100  4.73     0
OBS:  57882.25620     i     MD       766.839         79.965    20.288     0.113  5.12     0
OBS:  57882.26876     i     MD       636.706         67.545    20.490     0.115  4.08     0
OBS:  57882.28129     i     MD       775.047         80.120    20.277     0.112  5.03     0
OBS:  57882.29379     i     MD       784.786         75.075    20.263     0.103  4.61     0
OBS:  57883.25708     i     MD       678.701         59.759    20.421     0.095  4.02     0
OBS:  57883.26890     i     MD       905.123         65.361    20.108     0.078  4.02     0
OBS:  57883.28075     i     MD       743.151         60.454    20.322     0.088  3.92     0
OBS:  57883.29262     i     MD       794.373        103.003    20.250     0.140  6.26     0
OBS:  57839.39830     z     MD      3695.731        177.123    18.581     0.052  5.36     0
OBS:  57843.35311     z     MD      3256.108        160.258    18.718     0.053  4.12     0
OBS:  57863.25638     z     MD      2089.053        155.109    19.200     0.080  3.97     0
OBS:  57868.31078     z     MD      1010.495        170.943    19.989     0.183  4.51     0
OBS:  57881.25932     z     MD       888.021        167.414    20.129     0.204  4.03     0
END:
