SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-17aj
RA: 173.2941127
DECL: -10.2220743
MWEBV: 0.0360
FILTERS: griz
REDSHIFT_HELIO: 0.021275 +- 0.000107
REDSHIFT_FINAL: 0.0217475143635 +- 0.000107
SEARCH_PEAKMJD: 57773.11700
HOSTGAL_LOGMASS: 10.476 +- 0.014
VPEC: 7.370
VPEC_ERR: 250.000
NOBS: 27
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57767.66312     g     MD     39067.047        620.578    16.020     0.017  5.11     0
OBS:  57776.66166     g     MD     42943.014        648.701    15.918     0.016  6.48     0
OBS:  57781.58834     g     MD     35943.995        541.550    16.111     0.016  4.96     0
OBS:  57788.56778     g     MD     19427.845        337.353    16.779     0.019  5.28     0
OBS:  57801.56316     g     MD      7185.507        187.436    17.859     0.028  5.47     0
OBS:  57828.44951     g     MD      3279.156        279.344    18.711     0.092  5.15     0
OBS:  57767.66353     r     MD     36195.689        551.939    16.103     0.017  4.21     0
OBS:  57776.66206     r     MD     43393.331        643.686    15.906     0.016  6.30     0
OBS:  57781.58874     r     MD     36719.283        542.881    16.088     0.016  4.46     0
OBS:  57788.56819     r     MD     23955.135        374.545    16.552     0.017  4.50     0
OBS:  57801.56357     r     MD     19348.777        319.366    16.783     0.018  5.05     0
OBS:  57828.44991     r     MD      6345.701        220.474    17.994     0.038  4.60     0
OBS:  57767.66388     i     MD     26082.945        414.148    16.459     0.017  3.96     0
OBS:  57776.66242     i     MD     23859.101        387.332    16.556     0.018  6.37     0
OBS:  57781.58910     i     MD     20026.311        319.343    16.746     0.017  3.70     0
OBS:  57788.56855     i     MD     14090.049        242.920    17.128     0.019  3.83     0
OBS:  57801.56392     i     MD     16997.640        291.446    16.924     0.019  4.18     0
OBS:  57828.45028     i     MD      5405.550        177.061    18.168     0.035  4.63     0
OBS:  57801.52229     i     MD     18188.046        268.567    16.851     0.016  4.46     0
OBS:  57801.53476     i     MD     17648.819        261.716    16.883     0.016  4.21     0
OBS:  57801.54725     i     MD     18021.746        267.031    16.861     0.016  4.26     0
OBS:  57801.55972     i     MD     18349.286        271.337    16.841     0.016  4.26     0
OBS:  57776.66277     z     MD     24855.913        433.432    16.511     0.019  5.95     0
OBS:  57781.58946     z     MD     20551.718        352.429    16.718     0.019  3.79     0
OBS:  57788.56890     z     MD     17583.538        315.026    16.887     0.019  3.47     0
OBS:  57801.56428     z     MD     18370.839        338.986    16.840     0.020  3.94     0
OBS:  57828.45063     z     MD      4961.628        235.258    18.261     0.051  3.92     0
END:
